"filename", "language", "JavaScript", "JSON", "Markdown", "JavaScript JSX", "PostCSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\worker\OTPLogin.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\worker\bidWinnerNotification.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 4, 41
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\worker\clearQueue.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\worker\driverLink.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 5, 45
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\worker\newBidBroadcast.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\Context\ClientBidContext.jsx", "JavaScript JSX", 0, 0, 0, 50, 0, 0, 0, 0, 11, 61
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\Context\TransporterContext.jsx", "JavaScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 10, 45
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\README.md", "Markdown", 0, 0, 7, 0, 0, 0, 0, 0, 6, 13
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\eslint.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 20, 0, 1, 21
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\package-lock.json", "JSON", 0, 3410, 0, 0, 0, 0, 0, 0, 1, 3411
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\package.json", "JSON", 0, 36, 0, 0, 0, 0, 0, 0, 1, 37
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\App.css", "PostCSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 83, 0, 0, 0, 0, 6, 89
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\Components\Home.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\Components\Login.jsx", "JavaScript JSX", 0, 0, 0, 39, 0, 0, 0, 0, 4, 43
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\Components\LoginAs.jsx", "JavaScript JSX", 0, 0, 0, 34, 0, 0, 0, 0, 4, 38
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\Components\LoginWithOTP.jsx", "JavaScript JSX", 0, 0, 0, 159, 0, 0, 0, 0, 22, 181
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\Components\LoginWithPassword.jsx", "JavaScript JSX", 0, 0, 0, 97, 0, 0, 0, 0, 14, 111
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\Components\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 144, 0, 0, 0, 0, 6, 150
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\Components\SignUpAs.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 10, 30
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\Components\client\Bids.jsx", "JavaScript JSX", 0, 0, 0, 236, 0, 0, 0, 0, 29, 265
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\Components\client\Details.jsx", "JavaScript JSX", 0, 0, 0, 106, 0, 0, 0, 0, 17, 123
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\Components\client\JourneyTracking.jsx", "JavaScript JSX", 0, 0, 0, 82, 0, 0, 0, 4, 13, 99
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\Components\client\ManageTrustedTransporters.jsx", "JavaScript JSX", 0, 0, 0, 113, 0, 0, 0, 0, 19, 132
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\Components\client\PostABid.jsx", "JavaScript JSX", 0, 0, 0, 159, 0, 0, 0, 0, 20, 179
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\Components\client\SeeQuotes.jsx", "JavaScript JSX", 0, 0, 0, 119, 0, 0, 0, 2, 21, 142
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\Components\client\Signup.jsx", "JavaScript JSX", 0, 0, 0, 131, 0, 0, 0, 0, 19, 150
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\Components\transporter\Bids.jsx", "JavaScript JSX", 0, 0, 0, 153, 0, 0, 0, 4, 24, 181
